Period,Base,Variable,Value
2022,LA,E06000009,1951
2022,LA,E06000016,2818
2022,LA,E07000034,1274
2022,LA,E08000021,2603
2022,LA,E09000002,1282
2022,LA,E07000242,1256
2022,LA,E07000213,921
2022,LA,E06000036,923
2022,LA,E06000002,1535
2022,LA,E06000062,3631
2022,LA,E07000078,1219
2022,LA,E08000017,3566
2022,LA,E08000033,2075
2022,LA,E07000035,919
2022,LA,E07000079,1090
2022,LA,E07000074,777
2022,LA,E07000229,1348
2022,LA,E07000042,917
2022,LA,E07000207,1171
2022,LA,E07000099,1295
2022,LA,E07000202,1246
2022,LA,E07000209,1158
2022,LA,E07000119,1208
2022,LA,E06000060,4776
2022,LA,E07000180,1225
2022,LA,E07000081,1367
2022,LA,E06000054,5206
2022,LA,E07000096,1322
2022,LA,E09000016,2430
2022,LA,E07000032,1419
2022,LA,E07000066,1593
2022,LA,E07000174,1234
2022,LA,E07000138,961
2022,LA,E07000144,1639
2022,LA,E07000037,942
2022,LA,E08000010,3701
2022,LA,E08000028,3093
2022,LA,E06000042,2018
2022,LA,E06000056,2484
2022,LA,E07000217,851
2022,LA,E07000102,754
2022,LA,E07000220,1109
2022,LA,E07000103,717
2022,LA,E07000181,1177
2022,LA,E07000010,1240
2022,LA,E07000124,586
2022,LA,E08000006,2421
2022,LA,E06000055,1643
2022,LA,E09000018,1652
2022,LA,E09000015,1701
2022,LA,E07000095,806
2022,LA,E06000012,1935
2022,LA,E07000071,1704
2022,LA,E06000026,2729
2022,LA,E06000035,2427
2022,LA,E06000038,1206
2022,LA,E06000063,3409
2022,LA,E07000195,1417
2022,LA,E06000034,1310
2022,LA,E07000120,936
2022,LA,E07000200,1038
2022,LA,E07000147,1640
2022,LA,E07000061,1355
2022,LA,E07000114,1825
2022,Sex,1,292064
2022,Age,44,1185
2022,Age,26,341
2022,Age,58,4381
2022,Age,27,351
2022,Age,31,509
2022,Age,38,832
2022,Age,61,5042
2022,Age,45,1312
2022,Age,59,4547
2022,Age,80,16319
2022,Age,57,4172
2022,Age,28,367
2022,Age,62,5432
2022,Age,46,1451
2022,Age,90,124930
2022,Age,83,19357
2022,Age,55,3467
2022,Age,24,285
2022,Age,63,5775
2022,Age,34,628
2022,Age,9,58
2022,Age,5,65
2022,Age,77,15217
2022,Age,75,15793
2022,Age,70,8925
2022,Age,4,62
2022,Age,35,659
2022,Age,20,231
2022,Age,74,13665
2022,Age,73,11908
2022,Age,29,430
2022,Age,13,82
2022,Age,6,50
2022,Age,43,1100
2022,Age,17,171
2022,Age,10,48
2022,Age,41,1114
2022,Age,71,9789
2022,Age,84,20118
2022,Age,60,4859
2022,Age,51,2616
2022,Age,7,50
2022,Age,53,2950
2022,Age,54,3257
2022,Age,22,250
2022,Age,21,258
2022,Age,39,964
2022,Age,3,71
2022,Age,12,67
2022,Age,82,18258
2022,Age,86,20932
2022,Age,50,2341
2022,Age,56,3769
2022,Age,36,677
2022,Age,18,202
2022,Age,81,16461
2022,Age,87,20781
2022,Age,42,1223
2022,Age,40,986
2022,Age,47,1682
2022,Age,37,768
2022,Age,76,14261
2022,Age,0,2411
2022,Age,72,10862
2022,Age,32,540
