Dashboard   Period GeoCode                                            GeoName                                            VariableType                                       VariableA                                          VariableB                                          Value                   
----------- ------ -------------------------------------------------- -------------------------------------------------- -------------------------------------------------- -------------------------------------------------- -------------------------------------------------- ------------------------
          1 2018   NULL                                               NULL                                               AgeSex                                             0                                                  1                                                                    1440.0
          1 2018   NULL                                               NULL                                               AgeSex                                             0                                                  2                                                                    1131.0
          1 2018   NULL                                               NULL                                               AgeSex                                             1                                                  1                                                                      91.0
          1 2018   NULL                                               NULL                                               AgeSex                                             1                                                  2                                                                      81.0
          1 2018   NULL                                               NULL                                               AgeSex                                             10                                                 1                                                                      35.0
          1 2018   NULL                                               NULL                                               AgeSex                                             10                                                 2                                                                      27.0
          1 2018   NULL                                               NULL                                               AgeSex                                             100                                                1                                                                     382.0
          1 2018   NULL                                               NULL                                               AgeSex                                             100                                                2                                                                    1484.0
          1 2018   NULL                                               NULL                                               AgeSex                                             101                                                1                                                                     249.0
          1 2018   NULL                                               NULL                                               AgeSex                                             101                                                2                                                                    1161.0
          1 2018   NULL                                               NULL                                               AgeSex                                             102                                                1                                                                     152.0
          1 2018   NULL                                               NULL                                               AgeSex                                             102                                                2                                                                     809.0
          1 2018   NULL                                               NULL                                               AgeSex                                             103                                                1                                                                     103.0
          1 2018   NULL                                               NULL                                               AgeSex                                             103                                                2                                                                     493.0
          1 2018   NULL                                               NULL                                               AgeSex                                             104                                                1                                                                      61.0
          1 2018   NULL                                               NULL                                               AgeSex                                             104                                                2                                                                     323.0
          1 2018   NULL                                               NULL                                               AgeSex                                             105                                                1                                                                      27.0
          1 2018   NULL                                               NULL                                               AgeSex                                             105                                                2                                                                     192.0
          1 2018   NULL                                               NULL                                               AgeSex                                             106                                                1                                                                       9.0
          1 2018   NULL                                               NULL                                               AgeSex                                             106                                                2                                                                      94.0
          1 2018   NULL                                               NULL                                               AgeSex                                             107                                                1                                                                       4.0
          1 2018   NULL                                               NULL                                               AgeSex                                             107                                                2                                                                      54.0
          1 2018   NULL                                               NULL                                               AgeSex                                             108                                                1                                                                       3.0
          1 2018   NULL                                               NULL                                               AgeSex                                             108                                                2                                                                      28.0
          1 2018   NULL                                               NULL                                               AgeSex                                             109                                                1                                                                       2.0
          1 2018   NULL                                               NULL                                               AgeSex                                             109                                                2                                                                      12.0
          1 2018   NULL                                               NULL                                               AgeSex                                             11                                                 1                                                                      36.0
          1 2018   NULL                                               NULL                                               AgeSex                                             11                                                 2                                                                      20.0
          1 2018   NULL                                               NULL                                               AgeSex                                             110                                                1                                                                       1.0
          1 2018   NULL                                               NULL                                               AgeSex                                             110                                                2                                                                       3.0
          1 2018   NULL                                               NULL                                               AgeSex                                             111                                                2                                                                       1.0
          1 2018   NULL                                               NULL                                               AgeSex                                             112                                                2                                                                       2.0
          1 2018   NULL                                               NULL                                               AgeSex                                             113                                                2                                                                       2.0
          1 2018   NULL                                               NULL                                               AgeSex                                             117                                                1                                                                       1.0
          1 2018   NULL                                               NULL                                               AgeSex                                             12                                                 1                                                                      36.0
          1 2018   NULL                                               NULL                                               AgeSex                                             12                                                 2                                                                      16.0
          1 2018   NULL                                               NULL                                               AgeSex                                             13                                                 1                                                                      41.0
          1 2018   NULL                                               NULL                                               AgeSex                                             13                                                 2                                                                      25.0
